İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
39763640,18 Nisan 2026,Chevrolet,Kalos,1.2 SE,2005,245.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1150 cc,72 hp,Önden Çekiş,"6,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,İkinci El,255000.0
39761172,18 Nisan 2026,Chevrolet,Cruze,1.6 LS,2011,190.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,124 hp,Önden Çekiş,"6,5 lt",60 lt,"5 boyalı, 1 lokal boyalı",,Sahibinden,İkinci El,560000.0
39757410,18 Nisan 2026,Chevrolet,Cruze,1.6,2011,161.500 km,Düz,Benzin,Sedan,Füme,1598 cc,124 hp,Önden Çekiş,"6,5 lt",60 lt,3 lokal boyalı,,Sahibinden,İkinci El,650000.0
39753233,18 Nisan 2026,Chevrolet,Cruze,1.6 LS,2012,159.000 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,124 hp,Önden Çekiş,"7,4 lt",60 lt,"2 değişen, 1 boyalı",,Sahibinden,İkinci El,629000.0
39757279,18 Nisan 2026,Chevrolet,Lacetti,1.6 SX,2004,182.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,1598 cc,109 hp,Önden Çekiş,"8,1 lt",60 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,İkinci El,385000.0
39752192,18 Nisan 2026,Chevrolet,Aveo,1.4 LT,2011,167.000 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1398 cc,100 hp,Önden Çekiş,"6,8 lt",46 lt,"4 değişen, 7 boyalı",Takasa Uygun,Sahibinden,İkinci El,520000.0
39756083,18 Nisan 2026,Chevrolet,Kalos,1.2 SE,2004,262.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1150 cc,72 hp,Önden Çekiş,"6,6 lt",45 lt,Tamamı orjinal,,Sahibinden,İkinci El,280000.0
39755201,17 Nisan 2026,Chevrolet,Aveo,1.2 S,2011,185.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1206 cc,84 hp,Önden Çekiş,"5,5 lt",45 lt,Belirtilmemiş,,Sahibinden,İkinci El,330000.0
39754633,17 Nisan 2026,Chevrolet,Cruze,1.4 T LT,2012,234.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1364 cc,140 hp,Önden Çekiş,"5,7 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,730000.0
37728719,17 Nisan 2026,Chevrolet,Kalos,1.2 SE,2006,196.800 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1150 cc,72 hp,Önden Çekiş,"6,6 lt",45 lt,Belirtilmemiş,,Sahibinden,İkinci El,385000.0
38850288,17 Nisan 2026,Chevrolet,Aveo,1.4 LT,2013,223.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1398 cc,100 hp,Önden Çekiş,"5,9 lt",46 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,525000.0
36124460,17 Nisan 2026,Chevrolet,Cruze,1.6 LT,2012,143.333 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,124 hp,Önden Çekiş,"6,5 lt",60 lt,2 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,690000.0
37714716,17 Nisan 2026,Chevrolet,Cruze,1.6 LS,2010,255.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1598 cc,113 hp,Önden Çekiş,"7,8 lt",60 lt,"2 değişen, 3 lokal boyalı",Takasa Uygun,Sahibinden,İkinci El,430000.0
36608019,17 Nisan 2026,Chevrolet,Aveo,1.4 LT,2013,148.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1398 cc,100 hp,Önden Çekiş,"5,9 lt",46 lt,1 boyalı,,Sahibinden,İkinci El,520000.0
39738660,17 Nisan 2026,Chevrolet,Cruze,1.6 LS,2010,184.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,113 hp,Önden Çekiş,"6,8 lt",60 lt,"1 değişen, 2 lokal boyalı",Takasa Uygun,Sahibinden,İkinci El,500000.0
39737136,17 Nisan 2026,Chevrolet,Aveo,1.3 D LT,2012,216.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,4 boyalı,,Sahibinden,İkinci El,465000.0
37907144,17 Nisan 2026,Chevrolet,Aveo,1.2 SE,2006,210.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1150 cc,72 hp,Önden Çekiş,"6,4 lt",45 lt,"1 değişen, 7 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,265000.0
39735934,17 Nisan 2026,Chevrolet,Lacetti,1.6 SX,2005,225.000 km,Otomatik,LPG & Benzin,Sedan,Gri,1598 cc,109 hp,Önden Çekiş,"8,1 lt",60 lt,Tamamı boyalı,,Sahibinden,İkinci El,445000.0
39717320,17 Nisan 2026,Chevrolet,Aveo,1.3 D LT,2012,171.800 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,535000.0
39716081,17 Nisan 2026,Chevrolet,Cruze,1.6 WTCC Edition Plus,2012,150.000 km,Düz,Benzin,Sedan,Beyaz,1598 cc,124 hp,Önden Çekiş,"6,5 lt",60 lt,"3 değişen, 2 boyalı",Takasa Uygun,Sahibinden,İkinci El,650000.0
38826511,17 Nisan 2026,Chevrolet,Kalos,1.4 SE,2005,277.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1399 cc,83 hp,Önden Çekiş,"7,5 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,370000.0
39731401,17 Nisan 2026,Chevrolet,Aveo,1.3 D LT,2012,111.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,620000.0
39726975,16 Nisan 2026,Chevrolet,Kalos,1.4 SX,2006,105.000 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),1399 cc,94 hp,Önden Çekiş,7 lt,45 lt,"1 değişen, 1 boyalı",,Sahibinden,İkinci El,415000.0
39726675,16 Nisan 2026,Chevrolet,Aveo,1.4 LTZ,2012,84.653 km,Otomatik,Benzin,Hatchback/5,Beyaz,1398 cc,100 hp,Önden Çekiş,"6,8 lt",46 lt,"4 boyalı, 2 lokal boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,770000.0
37371767,16 Nisan 2026,Chevrolet,Lacetti,1.6 SX,2009,210.000 km,Düz,LPG & Benzin,Station wagon,Gri (Gümüş),1598 cc,109 hp,Önden Çekiş,"7,8 lt",60 lt,"2 değişen, 10 boyalı",Takasa Uygun,Sahibinden,İkinci El,500000.0
39712634,16 Nisan 2026,Chevrolet,Lacetti,1.6 CDX,2005,195.000 km,Düz,Benzin,Sedan,Mavi,1598 cc,109 hp,Önden Çekiş,"7,1 lt",60 lt,Tamamı orjinal,,Sahibinden,İkinci El,365000.0
35243318,16 Nisan 2026,Chevrolet,Lacetti,1.6 SX,2005,307.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,109 hp,Önden Çekiş,"7,1 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,260000.0
39708420,16 Nisan 2026,Chevrolet,Aveo,1.3 D LT,2013,203.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,"1 değişen, 1 boyalı, 1 lokal boyalı",,Sahibinden,İkinci El,525000.0
39712574,16 Nisan 2026,Chevrolet,Cruze,1.6 LT Plus,2012,207.000 km,Otomatik,Benzin,Sedan,Beyaz,1598 cc,124 hp,Önden Çekiş,"7,4 lt",60 lt,6 boyalı,,Sahibinden,İkinci El,640000.0
39711409,16 Nisan 2026,Chevrolet,Cruze,1.6 Sport,2013,200.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1598 cc,124 hp,Önden Çekiş,"6,6 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,729000.0
39710304,16 Nisan 2026,Chevrolet,Aveo,1.3 D LS,2013,270.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,"1 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,400000.0
39709561,16 Nisan 2026,Chevrolet,Cruze,1.6 LS Plus,2010,218.500 km,Otomatik,LPG & Benzin,Sedan,Siyah,1598 cc,124 hp,Önden Çekiş,"7,4 lt",60 lt,"1 değişen, 9 boyalı, 2 lokal boyalı",Takasa Uygun,Sahibinden,İkinci El,530000.0
39703005,16 Nisan 2026,Chevrolet,Aveo,1.3 D LS,2012,230.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,"6 boyalı, 3 lokal boyalı",,Sahibinden,İkinci El,420000.0
39700302,16 Nisan 2026,Chevrolet,Aveo,1.3 D LS,2012,286.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,1 değişen,,Sahibinden,İkinci El,437000.0
38818132,16 Nisan 2026,Chevrolet,Aveo,1.4 S,2008,240.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,,,"5 boyalı, 4 lokal boyalı",Takasa Uygun Değil,Galeriden,İkinci El,345000.0
39699850,15 Nisan 2026,Chevrolet,Aveo,1.4 SX,2010,187.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1399 cc,100 hp,Önden Çekiş,"6,1 lt",45 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,540000.0
34864997,15 Nisan 2026,Chevrolet,Kalos,1.4 SX,2004,335.450 km,Düz,LPG & Benzin,Hatchback/5,Mavi (metalik),1399 cc,94 hp,Önden Çekiş,7 lt,45 lt,"2 değişen, 5 boyalı, 2 lokal boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,255000.0
39699746,15 Nisan 2026,Chevrolet,Lacetti,1.6 SX,2005,206.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,1 lokal boyalı,Takasa Uygun,Sahibinden,İkinci El,395000.0
39696115,15 Nisan 2026,Chevrolet,Aveo,1.3 D LT,2012,170.000 km,Düz,Dizel,Sedan,Siyah,1248 cc,75 hp,Önden Çekiş,"3,7 lt",46 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,575000.0
28786570,15 Nisan 2026,Chevrolet,Aveo,1.2 SE,2009,175.000 km,Düz,Benzin,Hatchback/5,Gri,1206 cc,84 hp,Önden Çekiş,"5,5 lt",45 lt,"2 değişen, 2 boyalı",,Sahibinden,İkinci El,375000.0
37855757,15 Nisan 2026,Chevrolet,Cruze,1.6 LT,2012,106.000 km,Düz,Benzin,Sedan,Beyaz,1598 cc,124 hp,Önden Çekiş,"6,5 lt",60 lt,"2 değişen, 5 boyalı",,Sahibinden,İkinci El,625000.0
39691058,15 Nisan 2026,Chevrolet,Lacetti,1.6 WTCC,2011,147.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (metalik),1598 cc,109 hp,Önden Çekiş,"8,1 lt",60 lt,4 boyalı,,Sahibinden,İkinci El,450000.0
39691142,15 Nisan 2026,Chevrolet,Aveo,1.4 SE,2010,141.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1399 cc,100 hp,Önden Çekiş,"6,8 lt",45 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,430000.0
40343983,10 Mayıs 2026,Chrysler,PT Cruiser,2.0 Limited,2005,268.000 km,Otomatik,LPG & Benzin,Hatchback/5,Mavi,1995 cc,141 hp,Önden Çekiş,"9,8 lt",57 lt,Tamamı orjinal,,Sahibinden,İkinci El,780000.0
40020709,13 Mayıs 2026,Chrysler,300 C,5.7,2007,168.650 km,Otomatik,Benzin,Station wagon,Gri,5654 cc,340 hp,Arkadan İtiş,"12,5 lt",71 lt,1 lokal boyalı,Takasa Uygun,Galeriden,İkinci El,2000000.0
40020682,13 Mayıs 2026,Chrysler,300 C,3.0 CRD,2007,370.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"5 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,950000.0
39649929,13 Mayıs 2026,Chrysler,Stratus,2.0 LE,1999,352.000 km,Otomatik,LPG & Benzin,Sedan,Gri,1801 - 2000 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,320000.0
40000247,12 Mayıs 2026,Chrysler,Neon,2.0 LX,2001,128.506 km,Otomatik,Benzin,Sedan,Mor,1996 cc,133 hp,Önden Çekiş,"8,9 lt",47 lt,1 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,485000.0
39994052,12 Mayıs 2026,Chrysler,Neon,2.0 LX,1995,205.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1996 cc,145 hp,Önden Çekiş,"8,9 lt",47 lt,10 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,229000.0
40377264,11 Mayıs 2026,Chrysler,300 C,2.7,2005,330.000 km,Otomatik,Benzin,Sedan,Siyah,2736 cc,190 hp,Arkadan İtiş,"10,8 lt",76 lt,9 boyalı,Takasa Uygun,Galeriden,İkinci El,690000.0
40355462,11 Mayıs 2026,Chrysler,Stratus,2.5 LX,1997,284.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,2497 cc,163 hp,Önden Çekiş,"10,7 lt",60 lt,Tamamı boyalı,,Sahibinden,İkinci El,252000.0
39969044,11 Mayıs 2026,Chrysler,300 C,3.0 CRD,2008,243.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,8 boyalı,Takasa Uygun,Galeriden,İkinci El,1095000.0
32534032,11 Mayıs 2026,Chrysler,Sebring,2.7 Limited,2005,380.000 km,Otomatik,LPG & Benzin,-,Gri,2736 cc,203 hp,Önden Çekiş,"10,8 lt",65 lt,12 lokal boyalı,Takasa Uygun,Galeriden,İkinci El,560000.0
39969039,11 Mayıs 2026,Chrysler,Stratus,2.0 LX,1996,295.000 km,Düz,LPG & Benzin,Sedan,Yeşil,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,,,11 boyalı,Takasa Uygun,Galeriden,İkinci El,439000.0
39564535,11 Mayıs 2026,Chrysler,Crossfire,Roadster 3.2,2006,174.000 km,Otomatik,Benzin,Cabrio,Siyah,3001 - 3500 cm3,201 - 225 HP,Arkadan İtiş,,,10 boyalı,Takasa Uygun,Galeriden,İkinci El,1375000.0
32651259,09 Mayıs 2026,Chrysler,Concorde,3.5,1996,297.000 km,Otomatik,LPG & Benzin,Sedan,Yeşil,3518 cc,215 hp,Önden Çekiş,,68 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,365000.0
39905296,08 Mayıs 2026,Chrysler,300 C,3.0 CRD,2008,442.000 km,Otomatik,Dizel,Sedan,Beyaz,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"3 değişen, 10 boyalı",Takasa Uygun,Galeriden,İkinci El,795000.0
39470629,08 Mayıs 2026,Chrysler,300 C,3.5,2005,260.000 km,Otomatik,LPG & Benzin,Sedan,Gri,3518 cc,250 hp,Arkadan İtiş,"11,1 lt",68 lt,"4 değişen, 1 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1375000.0
40282233,07 Mayıs 2026,Chrysler,Sebring,2.7 Limited,2007,350.000 km,Otomatik,LPG & Benzin,-,Siyah,2736 cc,203 hp,Önden Çekiş,"10,8 lt",65 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,600000.0
39884590,07 Mayıs 2026,Chrysler,300 C,3.0 CRD,2007,350.000 km,Otomatik,Dizel,Sedan,Lacivert,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1150000.0
39435581,07 Mayıs 2026,Chrysler,300 C,2.7,2005,295.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,2736 cc,190 hp,Arkadan İtiş,"10,8 lt",76 lt,"3 boyalı, 3 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,875650.0
39435580,06 Mayıs 2026,Chrysler,300 C,3.0 CRD,2009,399.000 km,Otomatik,Dizel,Sedan,Kahverengi,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"1 boyalı, 3 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1395000.0
40219210,05 Mayıs 2026,Chrysler,300 C,2.7,2005,361.000 km,Otomatik,LPG & Benzin,Sedan,Gri,2736 cc,190 hp,Arkadan İtiş,"10,8 lt",76 lt,"1 değişen, 8 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,850000.0
39259920,05 Mayıs 2026,Chrysler,300 C,2.7,2006,280.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,2736 cc,190 hp,Arkadan İtiş,"10,8 lt",76 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1290000.0
30782571,05 Mayıs 2026,Chrysler,Concorde,3.5,1995,200.000 km,Otomatik,LPG & Benzin,Sedan,Yeşil,3518 cc,215 hp,Önden Çekiş,,68 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,360000.0
40196946,04 Mayıs 2026,Chrysler,PT Cruiser,2.4 Limited,2006,159.595 km,Düz,Benzin,Cabrio,Gri (Gümüş),2001 - 2500 cm3,-,-,,,1 lokal boyalı,Takasa Uygun,Sahibinden,İkinci El,880000.0
39785246,04 Mayıs 2026,Chrysler,Sebring,2.7 Limited,2007,207.500 km,Otomatik,Benzin,Sedan,Siyah,2501 - 3000 cm3,201 - 225 HP,Önden Çekiş,,,11 boyalı,Takasa Uygun,Galeriden,İkinci El,699000.0
39904355,03 Mayıs 2026,Chrysler,300 C,3.0 CRD,2007,380.000 km,Otomatik,Dizel,Sedan,Beyaz,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1320000.0
39785245,03 Mayıs 2026,Chrysler,300 C,3.0 CRD,2007,365.000 km,Otomatik,Dizel,Sedan,Gri,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1250000.0
37215282,03 Mayıs 2026,Chrysler,LHS,3.5,1996,249.000 km,Otomatik,Benzin,Sedan,Bordo,3518 cc,215 hp,Önden Çekiş,,68 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,499000.0
39061947,02 Mayıs 2026,Chrysler,300 C,3.0 CRD,2007,230.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"1 boyalı, 4 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1560000.0
39760917,02 Mayıs 2026,Chrysler,300 C,3.0 CRD,2008,394.000 km,Otomatik,Dizel,Sedan,Beyaz,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,8 boyalı,Takasa Uygun,Galeriden,İkinci El,1035000.0
39736264,02 Mayıs 2026,Chrysler,300 C,3.0 CRD,2007,300.000 km,Otomatik,Dizel,Sedan,Gri,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"3 değişen, 9 boyalı",Takasa Uygun,Galeriden,İkinci El,985000.0
27019165,02 Mayıs 2026,Chrysler,Sebring,2.7 Limited,2001,350.000 km,Otomatik,LPG & Benzin,-,Siyah,2736 cc,203 hp,Önden Çekiş,"10,8 lt",65 lt,9 boyalı,Takasa Uygun,Galeriden,İkinci El,590000.0
39742826,01 Mayıs 2026,Chrysler,300 C,3.0 CRD,2010,161.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,2200000.0
39259923,01 Mayıs 2026,Chrysler,300 C,3.0 CRD,2008,359.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"2 değişen, 4 boyalı, 2 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1050000.0
35447612,01 Mayıs 2026,Chrysler,300 C,2.7,2005,298.000 km,Otomatik,LPG & Benzin,Sedan,Gri,2736 cc,190 hp,Arkadan İtiş,"10,8 lt",76 lt,"1 değişen, 3 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,785000.0
27989950,01 Mayıs 2026,Chrysler,Sebring,2.0 CRD Convertible,2008,187.000 km,Düz,Dizel,-,Siyah,1968 cc,140 hp,Önden Çekiş,"6,2 lt",64 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1375000.0
30636484,30 Nisan 2026,Chrysler,300 C,3.0 CRD,2007,508.000 km,Otomatik,Dizel,Sedan,Gri,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,12 boyalı,Takasa Uygun,Galeriden,İkinci El,849900.0
34558679,30 Nisan 2026,Chrysler,Sebring,2.0 CRD Limited,2009,290.000 km,Otomatik,Dizel,Sedan,Beyaz,1968 cc,140 hp,Önden Çekiş,"6,7 lt",64 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,575000.0
39709670,30 Nisan 2026,Chrysler,300 C,3.0 CRD,2008,360.000 km,Otomatik,Dizel,Sedan,Gri,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,930000.0
38786342,30 Nisan 2026,Chrysler,300 C,3.0 CRD,2008,390.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,10 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,850000.0
40049990,29 Nisan 2026,Chrysler,300 C,3.0 CRD,2006,325.000 km,Otomatik,Dizel,Sedan,Gri,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"2 değişen, 7 boyalı",Takasa Uygun,Galeriden,İkinci El,985000.0
40049979,29 Nisan 2026,Chrysler,300 C,5.7,2005,280.000 km,Otomatik,Benzin,Station wagon,Siyah,5654 cc,340 hp,Arkadan İtiş,"12,5 lt",71 lt,11 boyalı,Takasa Uygun,Galeriden,İkinci El,1499000.0
39646918,29 Nisan 2026,Chrysler,300 C,3.0 CRD,2007,374.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,1160000.0
38310536,29 Nisan 2026,Chrysler,300 C,3.0 CRD,2008,335.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"1 boyalı, 2 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1050000.0
38673695,28 Nisan 2026,Chrysler,300 C,3.0 CRD,2006,400.000 km,Otomatik,Dizel,Sedan,Lacivert,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"1 değişen, 2 boyalı, 3 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1250000.0
29142952,27 Nisan 2026,Chrysler,Sebring,2.7 Limited,2005,155.000 km,Otomatik,LPG & Benzin,-,Siyah,2736 cc,203 hp,Önden Çekiş,"10,8 lt",65 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,950000.0
38673702,26 Nisan 2026,Chrysler,Neon,2.0 LE,1996,270.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1995 cc,132 hp,Önden Çekiş,,68 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,270000.0
39951620,25 Nisan 2026,Chrysler,Stratus,2.0 LE,1999,94.000 km,Otomatik,Benzin,Sedan,Lacivert,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,1250000.0
18840541,25 Nisan 2026,Chrysler,300 C,3.0 CRD,2008,330.000 km,Otomatik,Dizel,Sedan,Gri,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1600000.0
38610668,24 Nisan 2026,Chrysler,300 C,5.7,2006,133.000 km,Otomatik,Benzin,Station wagon,Siyah,5654 cc,340 hp,Arkadan İtiş,"12,5 lt",71 lt,2 lokal boyalı,Takasa Uygun,Galeriden,İkinci El,1900000.0
35904492,24 Nisan 2026,Chrysler,300 C,3.0 CRD,2006,470.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,"1 değişen, 12 boyalı",Takasa Uygun,Galeriden,İkinci El,989000.0
31651283,24 Nisan 2026,Chrysler,Sebring,2.5 LXI,1997,114.263 km,Otomatik,Benzin,Coupe,Kırmızı,2498 cc,169 hp,Önden Çekiş,,65 lt,1 lokal boyalı,Takasa Uygun,Galeriden,İkinci El,875000.0
37633843,23 Nisan 2026,Chrysler,300 C,2.7,2006,400.000 km,Otomatik,Benzin,Sedan,Siyah,2736 cc,190 hp,Arkadan İtiş,"10,8 lt",76 lt,"1 değişen, 3 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,775000.0
36160819,23 Nisan 2026,Chrysler,Sebring,2.7 LX,2005,248.000 km,Otomatik,Benzin,Sedan,Şampanya,2736 cc,203 hp,Önden Çekiş,"10,6 lt",65 lt,11 boyalı,Takasa Uygun,Galeriden,İkinci El,649900.0
38960351,22 Nisan 2026,Chrysler,300 C,3.0 CRD,2010,404.000 km,Otomatik,Dizel,Sedan,Siyah,2987 cc,218 hp,Arkadan İtiş,"8,1 lt",76 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,1210000.0
37633842,22 Nisan 2026,Chrysler,300 C,2.7,2006,285.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,2736 cc,190 hp,Arkadan İtiş,"10,8 lt",76 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1019850.0
39827668,21 Nisan 2026,Chrysler,Stratus,2.0 LE,2000,267.000 km,Düz,LPG & Benzin,Sedan,Şampanya,1996 cc,133 hp,Önden Çekiş,"8,2 lt",60 lt,1 boyalı,Takasa Uygun,Sahibinden,İkinci El,320500.0
38674864,21 Nisan 2026,Chrysler,300 C,5.7,2005,249.000 km,Otomatik,Benzin,Station wagon,Gri,5654 cc,340 hp,Arkadan İtiş,"12,5 lt",71 lt,"2 değişen, 1 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1853000.0
39808950,20 Nisan 2026,Chrysler,Sebring,2.7 LX,2002,297.000 km,Otomatik,LPG & Benzin,Sedan,Gri (metalik),2736 cc,203 hp,Önden Çekiş,"10,6 lt",65 lt,Belirtilmemiş,,Sahibinden,İkinci El,529000.0
38022142,15 Nisan 2026,Chrysler,300 C,5.7,2005,178.000 km,Otomatik,Benzin,Station wagon,Siyah,5654 cc,340 hp,Arkadan İtiş,"12,5 lt",71 lt,2 boyalı,Takasa Uygun,Galeriden,İkinci El,2500000.0
