İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
Kopyalandı35821806,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Attraction,2015,232.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,6 boyalı,,Sahibinden,İkinci El,510000.0
Kopyalandı33557578,14 Aralık 2025,Citroen,C4,1.6 e-HDi Confort,2012,189.600 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1560 cc,114 hp,Önden Çekiş,"4,2 lt",60 lt,2 boyalı,,Sahibinden,İkinci El,765000.0
Kopyalandı35821281,14 Aralık 2025,Citroen,C1,1.0 SX,2007,177.000 km,Düz,Benzin,Hatchback/5,Siyah,998 cc,69 hp,Önden Çekiş,"4,6 lt",35 lt,"2 değişen, 1 boyalı",,Sahibinden,İkinci El,335000.0
Kopyalandı35820755,14 Aralık 2025,Citroen,C3,1.2 PureTech Shine,2022,87.200 km,Otomatik,Benzin,Hatchback/5,Beyaz,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Tamamı orjinal,,Sahibinden,İkinci El,1065000.0
Kopyalandı35820485,14 Aralık 2025,Citroen,C4,1.6 e-HDi Exclusive,2012,185.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1560 cc,114 hp,Önden Çekiş,"4,2 lt",60 lt,3 boyalı,-,Sahibinden,İkinci El,825000.0
Kopyalandı35818450,14 Aralık 2025,Citroen,C5,1.6 HDi SX PK,2011,295.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,111 hp,Önden Çekiş,"5,6 lt",71 lt,Belirtilmemiş,,Sahibinden,İkinci El,535000.0
Kopyalandı35819752,14 Aralık 2025,Citroen,C3,1.2 PureTech Feel,2022,183.000 km,Düz,Benzin,Hatchback/5,Beyaz,1199 cc,83 hp,Önden Çekiş,"4,2 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,750000.0
Kopyalandı35819409,14 Aralık 2025,Citroen,Saxo,1.4 VTS,2000,201.000 km,Düz,Benzin,Hatchback/5,Sarı,1401 - 1600 cm3,,,,,Belirtilmemiş,,Sahibinden,İkinci El,200000.0
Kopyalandı35818403,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Exclusive,2013,286.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,1 değişen,,Sahibinden,İkinci El,585000.0
Kopyalandı35620046,14 Aralık 2025,Citroen,C4,1.4 SX,2009,111.000 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),1587 cc,,Önden Çekiş,"7,1 lt",60 lt,"1 değişen, 2 boyalı",,Sahibinden,İkinci El,515000.0
Kopyalandı35818406,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Max,2025,16.500 km,Otomatik,Benzin,SUV,Füme,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,Tamamı orjinal,,Sahibinden,İkinci El,1500000.0
Kopyalandı35817305,14 Aralık 2025,Citroen,C3,1.2 PureTech Shine,2020,114.000 km,Otomatik,Benzin,Hatchback/5,Diğer,1200 cm3' e kadar,,,,,2 boyalı,Takasa Uygun,Sahibinden,İkinci El,970000.0
Kopyalandı32969809,14 Aralık 2025,Citroen,C3,1.2 PureTech Feel,2021,76.000 km,Düz,Benzin,Hatchback/5,Beyaz,1199 cc,83 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,950000.0
Kopyalandı33584656,14 Aralık 2025,Citroen,C3,1.4 SX,2004,260.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1360 cc,76 hp,Önden Çekiş,"6,2 lt",45 lt,4 değişen,Takasa Uygun,Sahibinden,İkinci El,260000.0
Kopyalandı35816327,14 Aralık 2025,Citroen,Xsara,1.6 SX,2000,239.000 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1587 cc,111 hp,Önden Çekiş,"7,6 lt",54 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,İkinci El,227000.0
Kopyalandı35816324,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Attraction,2015,253.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,"3 değişen, 3 boyalı",,Sahibinden,İkinci El,440000.0
Kopyalandı35816807,14 Aralık 2025,Citroen,C4,1.2 PureTech Shine,2024,9.878 km,Otomatik,Benzin,Hatchback/5,Siyah,1199 cc,132 hp,Önden Çekiş,5 lt,50 lt,1 değişen,Takasa Uygun Değil,Sahibinden,İkinci El,1475000.0
Kopyalandı29854457,14 Aralık 2025,Citroen,e-C4 X,Shine Bold,2023,41.500 km,Otomatik,Elektrik,SUV,Kırmızı,,136 hp,Önden Çekiş,,,1 boyalı,,Sahibinden,İkinci El,1375000.0
Kopyalandı35815343,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Feel,2023,100.650 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt,1 boyalı,Takasa Uygun,Yetkili Bayiden,İkinci El,815000.0
Kopyalandı35814593,14 Aralık 2025,Citroen,Xsara,Picasso 1.6 SX,2001,388.000 km,Düz,LPG & Benzin,MPV,Gri (Gümüş),1587 cc,90 hp,Önden Çekiş,"7,8 lt",55 lt,"2 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,245000.0
Kopyalandı35814491,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Feel,2021,66.500 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,İkinci El,865000.0
Kopyalandı35812140,14 Aralık 2025,Citroen,C4,1.6 SX PK,2007,187.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1587 cc,111 hp,Önden Çekiş,"7,1 lt",60 lt,"1 değişen, 8 boyalı",,Sahibinden,İkinci El,370000.0
Kopyalandı35813407,14 Aralık 2025,Citroen,C5,1.6 HDi SX PK,2011,165.000 km,Düz,Dizel,Sedan,Gri (metalik),1560 cc,111 hp,Önden Çekiş,"5,6 lt",71 lt,1 boyalı,,Sahibinden,İkinci El,715000.0
Kopyalandı35811356,14 Aralık 2025,Citroen,C4,1.6 HDi Confort Plus,2012,165.000 km,Düz,Dizel,Hatchback/5,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,2 lt",60 lt,Belirtilmemiş,,Sahibinden,İkinci El,700000.0
Kopyalandı35811165,14 Aralık 2025,Citroen,C3,1.4 HDi X,2005,353.000 km,Düz,Dizel,Hatchback/5,Mavi,1398 cc,71 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,,Sahibinden,İkinci El,280000.0
Kopyalandı35811887,14 Aralık 2025,Citroen,C3,1.4 VTi Confort,2014,135.500 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1397 cc,96 hp,Önden Çekiş,"5,6 lt",50 lt,2 boyalı,,Sahibinden,İkinci El,825000.0
Kopyalandı35808971,14 Aralık 2025,Citroen,C3,1.4 SX,2004,223.500 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1360 cc,76 hp,Önden Çekiş,"7,1 lt",45 lt,"4 değişen, 5 boyalı",,Sahibinden,İkinci El,360000.0
Kopyalandı35808030,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Shine,2017,111.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,"2 değişen, 1 boyalı",,Sahibinden,İkinci El,625000.0
Kopyalandı35807230,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Attraction,2012,275.500 km,Düz,Dizel,Sedan,Beyaz,,,Önden Çekiş,,,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,490000.0
Kopyalandı35813440,14 Aralık 2025,Citroen,C3,1.2 PureTech Feel,2022,76.000 km,Düz,Benzin,Hatchback/5,Füme,1199 cc,83 hp,Önden Çekiş,"4,2 lt",45 lt,1 değişen,,Sahibinden,İkinci El,759000.0
Kopyalandı35805913,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Feel,2018,210.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,Tamamı orjinal,,Sahibinden,İkinci El,465000.0
Kopyalandı35806691,14 Aralık 2025,Citroen,C4,1.2 PureTech Shine Bold,2023,52.000 km,Otomatik,Benzin,SUV,Kırmızı,1199 cc,132 hp,Önden Çekiş,5 lt,50 lt,Tamamı orjinal,,Sahibinden,İkinci El,1525000.0
Kopyalandı35804585,14 Aralık 2025,Citroen,C4,1.4 VTi Attraction,2011,184.000 km,Düz,Benzin,Hatchback/5,Siyah,1397 cc,96 hp,Önden Çekiş,"6,1 lt",60 lt,"1 değişen, 2 boyalı",,Sahibinden,İkinci El,600000.0
Kopyalandı35804901,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Exclusive,2015,226.000 km,Düz,Dizel,Sedan,Mavi,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,"2 değişen, 8 boyalı",,Sahibinden,İkinci El,385000.0
Kopyalandı35804834,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Exclusive,2015,226.000 km,Düz,Dizel,Sedan,Mavi (metalik),1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,Belirtilmemiş,,Sahibinden,İkinci El,385000.0
Kopyalandı35803577,14 Aralık 2025,Citroen,C5,1.6 HDi Dynamique,2011,215.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,114 hp,Önden Çekiş,5 lt,71 lt,4 değişen,,Sahibinden,İkinci El,650000.0
Kopyalandı35802901,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Confort,2015,214.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,Belirtilmemiş,,Sahibinden,İkinci El,540000.0
Kopyalandı35802047,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Attraction,2016,122.100 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,"4 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,635000.0
Kopyalandı35801893,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Confort,2017,225.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,1 değişen,,Sahibinden,İkinci El,700000.0
Kopyalandı35809344,14 Aralık 2025,Citroen,C3,1.2 PureTech Shine,2021,23.000 km,Otomatik,Benzin,Hatchback/5,Mavi (metalik),1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,1145000.0
Kopyalandı35800919,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Exclusive,2015,246.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,8 boyalı,,Sahibinden,İkinci El,565000.0
Kopyalandı35800865,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Feel,2018,180.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,645000.0
Kopyalandı35800679,14 Aralık 2025,Citroen,C5,1.6 e-HDi Dynamique,2012,280.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1560 cc,114 hp,Önden Çekiş,"4,6 lt",71 lt,"1 değişen, 3 boyalı",,Sahibinden,İkinci El,570000.0
Kopyalandı35799980,14 Aralık 2025,Citroen,C4,1.6 HDi SX,2006,331.000 km,Düz,Dizel,Hatchback/5,Siyah,1560 cc,111 hp,Önden Çekiş,"4,8 lt",60 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,İkinci El,375000.0
Kopyalandı35804678,14 Aralık 2025,Citroen,C4,1.2 PureTech Shine,2024,15.000 km,Otomatik,Benzin,SUV,Siyah,1199 cc,132 hp,Önden Çekiş,5 lt,50 lt,Belirtilmemiş,,Sahibinden,İkinci El,1485000.0
Kopyalandı35797794,14 Aralık 2025,Citroen,C3,1.4 HDi SX,2003,323.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1398 cc,93 hp,Önden Çekiş,"4,3 lt",45 lt,Belirtilmemiş,,Sahibinden,İkinci El,235000.0
Kopyalandı31789044,14 Aralık 2025,Citroen,C-Elysee,1.6 BlueHDi Feel,2018,220.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,100 hp,Önden Çekiş,"3,8 lt",50 lt,Tamamı orjinal,,Sahibinden,İkinci El,660000.0
Kopyalandı35798146,14 Aralık 2025,Citroen,C4,1.6 HDi SX,2008,250.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1560 cc,111 hp,Önden Çekiş,"4,5 lt",60 lt,12 boyalı,,Sahibinden,İkinci El,402000.0
Kopyalandı35796635,14 Aralık 2025,Citroen,Saxo,1.4 SX,2000,230.000 km,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1360 cc,76 hp,Önden Çekiş,"7,9 lt",45 lt,Belirtilmemiş,,Sahibinden,İkinci El,220000.0
Kopyalandı35796474,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Confort,2016,125.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,Belirtilmemiş,,Sahibinden,İkinci El,480000.0
Kopyalandı35796121,14 Aralık 2025,Citroen,C3,1.2 PureTech Shine,2023,38.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Tamamı orjinal,,Sahibinden,İkinci El,1280000.0
Kopyalandı35795877,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Exclusive,2014,164.000 km,Düz,Dizel,Sedan,Mavi,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,"1 değişen, 1 boyalı",,Sahibinden,İkinci El,625000.0
Kopyalandı35803644,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Max,2025,7.000 km,Otomatik,Benzin,Sedan,Mavi (metalik),1201 - 1400 cm3,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,1690000.0
Kopyalandı35795362,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Shine,2017,192.500 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,Tamamı orjinal,,Sahibinden,İkinci El,745000.0
Kopyalandı35795243,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Feel,2024,71.300 km,Düz,Dizel,Sedan,Beyaz,,,,,,Belirtilmemiş,,Sahibinden,İkinci El,939000.0
Kopyalandı35794890,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Live,2017,126.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,12 boyalı,,Sahibinden,İkinci El,630000.0
Kopyalandı35793820,14 Aralık 2025,Citroen,C3,1.4 HDi Attraction,2011,255.000 km,Düz,Dizel,Hatchback/5,Beyaz,1398 cc,71 hp,Önden Çekiş,"4,3 lt",48 lt,Belirtilmemiş,,Sahibinden,İkinci El,435000.0
Kopyalandı35664528,14 Aralık 2025,Citroen,C3,1.4 HDi Attraction,2011,303.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1398 cc,71 hp,Önden Çekiş,"4,1 lt",50 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,365000.0
Kopyalandı35791646,14 Aralık 2025,Citroen,C4,1.6 e-HDi Confort,2012,209.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1560 cc,114 hp,Önden Çekiş,"4,2 lt",60 lt,"1 değişen, 4 boyalı",,Sahibinden,İkinci El,710000.0
Kopyalandı35792039,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Attraction,2013,249.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,"1 değişen, 2 boyalı",,Sahibinden,İkinci El,480000.0
Kopyalandı35790206,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Shine,2019,48.500 km,Düz,Dizel,Sedan,Füme,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,885000.0
Kopyalandı35790246,14 Aralık 2025,Citroen,C3,1.4 SX,2004,222.000 km,Otomatik,LPG & Benzin,Hatchback/5,Mavi,1360 cc,76 hp,Önden Çekiş,"7,1 lt",45 lt,11 boyalı,,Sahibinden,İkinci El,325000.0
Kopyalandı33206289,14 Aralık 2025,Citroen,C3,1.4 SensoDrive,2006,105.000 km,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1360 cc,93 hp,Önden Çekiş,6 lt,45 lt,6 boyalı,,Sahibinden,İkinci El,455000.0
Kopyalandı29006171,14 Aralık 2025,Citroen,C3,1.4 HDi SX,2006,245.000 km,Düz,Dizel,Hatchback/5,Gri,1398 cc,71 hp,Önden Çekiş,"4,2 lt",45 lt,"1 değişen, 1 boyalı",,Sahibinden,İkinci El,275000.0
Kopyalandı33503823,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Attraction,2013,185.600 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,"2 değişen, 2 boyalı",,Sahibinden,İkinci El,550000.0
Kopyalandı35699924,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Feel Bold,2023,66.000 km,Otomatik,Benzin,SUV,Kırmızı,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,1299000.0
Kopyalandı35344435,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Exclusive,2016,82.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,695000.0
Kopyalandı35344426,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Exclusive,2015,290.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,545000.0
Kopyalandı35344269,14 Aralık 2025,Citroen,C4,1.6 e-HDi Confort,2014,165.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1560 cc,117 hp,Önden Çekiş,"4,2 lt",60 lt,"2 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,750000.0
Kopyalandı35344101,14 Aralık 2025,Citroen,C4,1.4 VTi Attraction,2012,152.000 km,Düz,Benzin,Hatchback/5,Beyaz,1397 cc,96 hp,Önden Çekiş,"6,1 lt",60 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,575000.0
Kopyalandı35344024,14 Aralık 2025,Citroen,C4,1.2 PureTech Feel,2021,78.000 km,Düz,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1068000.0
Kopyalandı35313088,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Feel Bold,2024,27.000 km,Otomatik,Benzin,SUV,Gri,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,1 değişen,Takasa Uygun Değil,Galeriden,İkinci El,1295000.0
Kopyalandı35313082,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Feel Bold,2024,60.000 km,Otomatik,Benzin,SUV,Siyah,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,1316500.0
Kopyalandı35313080,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Feel Bold,2023,46.000 km,Otomatik,Benzin,SUV,Gri,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,1329850.0
Kopyalandı35313079,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Shine Bold,2023,49.200 km,Otomatik,Benzin,SUV,Gri,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1499900.0
Kopyalandı35313050,14 Aralık 2025,Citroen,C3,1.4 HDi SX,2003,338.000 km,Düz,Dizel,Hatchback/5,Lacivert,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,,,Tamamı boyalı,Takasa Uygun,Galeriden,İkinci El,225000.0
Kopyalandı35313014,14 Aralık 2025,Citroen,C3,1.2 PureTech Feel Bold,2023,66.000 km,Otomatik,Benzin,Hatchback/5,Kahverengi,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,1118750.0
Kopyalandı35312977,14 Aralık 2025,Citroen,C5,1.6 e-HDi Dynamique,2012,295.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1560 cc,114 hp,Önden Çekiş,"4,6 lt",71 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,570000.0
Kopyalandı35312944,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Feel Bold,2022,135.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,797750.0
Kopyalandı35312942,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,130.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt,5 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,778000.0
Kopyalandı35285194,14 Aralık 2025,Citroen,C4,1.2 PureTech Shine Bold,2021,123.500 km,Otomatik,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1375000.0
Kopyalandı35285193,14 Aralık 2025,Citroen,C4,1.2 PureTech Max,2025,15.000 km,Otomatik,Benzin,Hatchback/5,Yeşil,1200 cm3' e kadar,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1675000.0
Kopyalandı35285169,14 Aralık 2025,Citroen,C3,1.2 PureTech Feel Bold,2023,26.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,İkinci El,1097000.0
Kopyalandı35284868,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Attraction,2016,190.500 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,589000.0
Kopyalandı35284834,14 Aralık 2025,Citroen,C3,1.2 PureTech Elle,2023,6.800 km,Otomatik,Benzin,Hatchback/5,Bej,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1310000.0
Kopyalandı34751103,14 Aralık 2025,Citroen,C3,1.4 e-HDi Confort,2025,6.001 km,Otomatik,Elektrik,Hatchback/5,Beyaz,-,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1329000.0
Kopyalandı34751035,14 Aralık 2025,Citroen,C4,1.2 PureTech Shine,2023,59.000 km,Otomatik,Benzin,Hatchback/5,Gri,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,,,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,1355000.0
Kopyalandı34750713,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Feel Bold,2022,75.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,835000.0
Kopyalandı34750694,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,94.732 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,"3,9 lt",50 lt,2 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,780000.0
Kopyalandı34350781,14 Aralık 2025,Citroen,C5,2.0 HDi Exclusive,2009,233.000 km,Otomatik,Dizel,Sedan,Bej,1997 cc,140 hp,Önden Çekiş,"7,1 lt",71 lt,"3 değişen, 6 boyalı",Takasa Uygun,Galeriden,İkinci El,585000.0
Kopyalandı34166243,14 Aralık 2025,Citroen,C-Elysee,1.6 HDi Live,2017,190.000 km,Düz,Dizel,Sedan,Beyaz,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,668000.0
Kopyalandı34166087,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Shine Bold,2023,35.000 km,Otomatik,Benzin,SUV,Siyah,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1509000.0
Kopyalandı34166073,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Feel Bold,2024,30.000 km,Otomatik,Benzin,SUV,Beyaz,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1395000.0
Kopyalandı34165841,14 Aralık 2025,Citroen,C-Elysee,1.5 BlueHDi Shine,2020,76.500 km,Düz,Dizel,Sedan,Beyaz,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,872500.0
Kopyalandı34128985,14 Aralık 2025,Citroen,C5,1.6 e-HDi Dynamique,2012,243.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1560 cc,114 hp,Önden Çekiş,"4,6 lt",71 lt,"2 değişen, 5 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,565000.0
Kopyalandı34128830,14 Aralık 2025,Citroen,C3,1.2 PureTech Shine,2024,13.485 km,Otomatik,Benzin,Hatchback/5,Füme,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1294000.0
Kopyalandı33641931,14 Aralık 2025,Citroen,C3,1.2 PureTech Shine,2023,30.600 km,Otomatik,Benzin,Hatchback/5,Bej,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1220000.0
Kopyalandı33600748,14 Aralık 2025,Citroen,C3,1.2 PureTech Shine,2023,51.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1199 cc,112 hp,Önden Çekiş,"4,8 lt",47 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,1190000.0
Kopyalandı33600695,14 Aralık 2025,Citroen,C4 X,1.2 PureTech Shine,2024,26.000 km,Otomatik,Benzin,SUV,Gri,1199 cc,132 hp,Önden Çekiş,"4,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1475000.0
